Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementTerminRepositoryAkteur.json	4263	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementTerminRepositoryRolle.json	36833	5	0	0	1	0	0	0	2	51	0	0	0	0	0	0	0	0	0	0	47	21	0	0	1	0	2	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementTerminologieRolle.json	15475	3	0	0	0	0	0	1	1	29	0	0	0	0	0	0	0	0	0	0	40	13	0	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementVersicherungsverhaeltnisRolle.json	27547	3	0	0	0	0	0	0	1	41	0	0	0	0	0	0	0	0	0	0	38	19	0	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceExtendedAkteur.json	5491	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceExtendedRolle.json	20884	4	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	30	15	0	0	1	0	2	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceMinimalAkteur.json	5556	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceMinimalRolle.json	17223	3	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	1	0	0	26	11	0	0	1	0	1	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignStandardSourceAkteur.json	4932	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignStandardSourceRolle.json	14181	3	0	0	1	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	23	10	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CodeSystemExample.json	889	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	10	398	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ISiKBehandlungsergebnisRehaCS.json	989	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	53	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ISiKBesondereBehandlungsformRehaCS.json	1111	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	12	44	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ISiKEntlassformRehaCS.json	2259	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	12	49	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ISiKMDRRelevanzFormularCS.json	632	5	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	9	37	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ISiKMedikationsartCS.json	609	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	38	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ISiKSubscriptionTopic.json	4536	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	50	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ISiKUnterbrechungRehaCS.json	1245	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	32	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-subscription-notification-type.json	2368	3	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	12	38	0	0	0	0	0	0	0
fsh-generated/resources/Composition-CompositionExampleBlutdruck.json	1744	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	19	0	0	0	0	0	0	0
fsh-generated/resources/Condition-AltersbedingteKreislaufstoerung.json	1005	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0	0
fsh-generated/resources/Condition-BehandlungsDiagnoseFreitext.json	533	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	0	0
fsh-generated/resources/Condition-Example-condition-ausrufezeichen-primaer.json	879	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0	0
fsh-generated/resources/Condition-Example-condition-ausrufezeichen-sekundaer.json	1541	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0	0
fsh-generated/resources/Condition-Example-condition-kreuz-stern-primaer.json	1205	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0	0
fsh-generated/resources/Condition-Example-condition-kreuz-stern-sekundaer.json	1639	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0	0
fsh-generated/resources/Condition-MittelgradigeIntelligenzminderung.json	785	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	9	17	0	0	0	0	0	0	0
fsh-generated/resources/Condition-PrimaereGonarthroseMinimal.json	579	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	0	0	0	0
fsh-generated/resources/Condition-PrimaereGonarthroseNormal.json	1139	2	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0	0
fsh-generated/resources/Condition-SZ2Primaerdiagnose.json	922	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0
fsh-generated/resources/Condition-SZ2Sekundaerdiagnose.json	1056	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0
fsh-generated/resources/Coverage-CoverageGesetzlich.json	816	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0
fsh-generated/resources/Coverage-CoveragePrivat.json	518	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	0
fsh-generated/resources/Coverage-CoverageSonstige.json	507	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0
fsh-generated/resources/Coverage-SZ1VersicherungGesetzlich.json	1151	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0
fsh-generated/resources/Coverage-SZ1VersicherungSelbstzahler.json	518	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0
fsh-generated/resources/Coverage-SZ2VersicherungGesetzlich.json	1164	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0	0
fsh-generated/resources/Device-ExampleDevice.json	78	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-dok-beispiel-client-with-binary-jpeg-example-short.json	2002	3	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0	1
fsh-generated/resources/DocumentReference-dok-beispiel-client-with-binary-jpeg-example.json	37484	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	33	17	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-dok-beispiel-client-with-binary-pdf-example-short.json	2010	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-dok-beispiel-client-with-binary-pdf-example.json	175404	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	118	38	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-dok-beispiel-server.json	2431	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-Fachabteilungskontakt.json	4309	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-FachabteilungskontaktBettenverlegung.json	3004	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-FachabteilungskontaktEntlassung.json	2465	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-FachabteilungskontaktFachbereichswechsel1.json	3046	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-FachabteilungskontaktFachbereichswechsel2.json	2491	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-FachabteilungskontaktMinimal.json	1134	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-FachabteilungskontaktMinimal2.json	807	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-FachabteilungskontaktNormal.json	5207	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-FachabteilungskontaktStationaereAufnahme.json	2481	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-FachabteilungskontaktStationswechsel1.json	2524	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
fsh-generated/resources/Encounter-FachabteilungskontaktStationswechsel2.json	2474	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
