URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://dvmd.de/fhir/ValueSet/kdl,2025,active,"1.2.276.0.76.11.469",ValueSetKDL,ValueSet Klinische Dokumentenklassen-Liste (Version 2025),"ValueSets sind Listen von Codes, die in einem bestimmten Kontext verwendet werden. Durch sog. &quot;Terminology-Binding&quot; können Attribute von FHIR-Ressourcen an ValueSets gebunden werden, um die Menge der zulässigen Werte für dieses Attribut einzuschränken.  Dieses ValueSet enthält sämtliche Codes aus dem CodeSystem &quot;KDL&quot; und ist für Bindings an Attribute geeignet, an denen alle Werte aus dem CodeSystem &quot;KDL&quot; erlaubt werden sollen.  Beispiel: DocumentReference.type","StructureDefinition/ISiKDokumentenMetadaten","dvmd.kdl.r4"
http://gefyra.info/training/ValueSet/ISiKBesondereBehandlungsformReha,0.1.0,active,,ISiKBesondereBehandlungsformRehaVS,,"Besondere Behandlungsform der Reha gemäß §301(4 UND 4A) SGB V. Vgl. Schlüsseltabelle 2.51 Besondere Behandlungsformen.","StructureDefinition/ExtensionISiKRehaEntlassung","Internal"
http://gefyra.info/training/ValueSet/ISiKConfidentialityCodes,0.1.0,active,,ISiKConfidentialityCodes,ISiKConfidentialityCodes,"Vertraulichkeitsstufen","StructureDefinition/ISiKDokumentenMetadaten","THO (V3)"
http://gefyra.info/training/ValueSet/ISiKEntlassformReha,0.1.0,active,,ISiKEntlassformRehaVS,,"ISiK Entlassform Reha. Beschreibt Form und ggf. Weiterbehandlung der Entlassung eines Versicherten/Berechtigten aus verwaltungs- und medizinischer Sicht. Vgl. Schlüsseltabelle 2.107 Entlassungsform.","StructureDefinition/ExtensionISiKRehaEntlassung","Internal"
http://gefyra.info/training/ValueSet/ISiKKernTempSctVS,0.1.0,active,,ISiKKernTempSctVS,ISiK  Kerntemperatur SnomedCT ValueSet,"ValueSet der Körperkerntemperatur SnomedCT Konzepte","StructureDefinition/ISiKKoerperkerntemperatur,StructureDefinition/sd-mii-icu-koerpertemperatur-leiste,StructureDefinition/sd-mii-icu-koerpertemperatur-kern,StructureDefinition/sd-mii-icu-koerpertemperatur-harnblase,StructureDefinition/sd-mii-icu-koerpertemperatur-blut,StructureDefinition/sd-mii-icu-koerpertemperatur-trommelfell,StructureDefinition/sd-mii-icu-koerpertemperatur-unter-der-zunge,StructureDefinition/sd-mii-icu-koerpertemperatur-speiseroehre,StructureDefinition/sd-mii-icu-koerpertemperatur-rektal,StructureDefinition/sd-mii-icu-koerpertemperatur-vaginal,StructureDefinition/sd-mii-icu-koerpertemperatur-achsel","SCT"
http://gefyra.info/training/ValueSet/ISiKLocationPhysicalType,0.1.0,active,,ISiKLocationPhysicalType,,"","StructureDefinition/ISiKKontaktGesundheitseinrichtung,StructureDefinition/ISiKTerminKontaktMitGesundheitseinrichtung","THO"
http://gefyra.info/training/ValueSet/ISiKMDRRelevanzFormularVS,0.1.0,active,,ISiKMDRRelevanzFormularVS,,"","StructureDefinition/ISiKFormularDaten,StructureDefinition/ISiKMDRRelevanzFormularExtension","Internal"
http://gefyra.info/training/ValueSet/ISiKMedikationsartVS,0.1.0,active,,ISiKMedikationsartVS,,"ISiK Therapiearten für Medikation","StructureDefinition/ExtensionISiKMedikationsart,StructureDefinition/ISiKMedikationsVerordnung,StructureDefinition/ISiKMedikationsInformation","Internal"
http://gefyra.info/training/ValueSet/ISiKSpecificGenericTempLoincVS,0.1.0,active,,ISiKSpecificGenericTempLoincVS,ISiK Specific Generische Koerpertemperatur LOINC Konzepte,"ValueSet der spezifischen generischen Körperkerntemperatur LOINC Konzepte die nicht dazu dienen eine Körperkerntemperatur zu messen","StructureDefinition/sd-mii-icu-koerpertemperatur-brust,StructureDefinition/sd-mii-icu-koerpertemperatur-generisch,StructureDefinition/sd-mii-icu-koerpertemperatur-nasal,StructureDefinition/sd-mii-icu-koerpertemperatur-halswirbelsaeule,StructureDefinition/sd-mii-icu-koerpertemperatur-lendenwirbelsaeule,StructureDefinition/sd-mii-icu-koerpertemperatur-brustwirbelsaeule,StructureDefinition/sd-mii-icu-koerpertemperatur-gelenk,StructureDefinition/sd-mii-icu-koerpertemperatur-atemwege,StructureDefinition/sd-mii-icu-koerpertemperatur-nasen-rachen-raum,StructureDefinition/sd-mii-icu-koerpertemperatur-myokard,StructureDefinition/sd-mii-icu-koerpertemperatur-stirn","LOINC"
http://gefyra.info/training/ValueSet/ISiKSpecificKernTempLoincVS,0.1.0,active,,ISiKSpecificKernTempLoincVS,ISiK Specific Kerntemperatur LOINC ValueSet,"ValueSet der spezifischen Körperkerntemperatur LOINC Konzepte","StructureDefinition/ISiKKoerperkerntemperatur,StructureDefinition/sd-mii-icu-koerpertemperatur-leiste,StructureDefinition/sd-mii-icu-koerpertemperatur-kern,StructureDefinition/sd-mii-icu-koerpertemperatur-harnblase,StructureDefinition/sd-mii-icu-koerpertemperatur-blut,StructureDefinition/sd-mii-icu-koerpertemperatur-trommelfell,StructureDefinition/sd-mii-icu-koerpertemperatur-unter-der-zunge,StructureDefinition/sd-mii-icu-koerpertemperatur-speiseroehre,StructureDefinition/sd-mii-icu-koerpertemperatur-rektal,StructureDefinition/sd-mii-icu-koerpertemperatur-vaginal,StructureDefinition/sd-mii-icu-koerpertemperatur-achsel","LOINC"
http://gefyra.info/training/ValueSet/ISiKSubscriptionTopicVS,0.1.0,active,,ISiKSubscriptionTopicVS,ISiKSubscriptionTopic ValueSet,"ValueSet, das alle Codes des ISiKSubscriptionTopic CodeSystems enthält","StructureDefinition/ISiKSubscription","Internal"
http://gefyra.info/training/ValueSet/ISiKTerminCancelationReason,0.1.0,active,,ISiKTerminCancelationReason,,"Enthaelt alle erlaubten Gruende fuer eine Stornierung eines ISiKTermins","StructureDefinition/ISiKTermin","THO"
http://gefyra.info/training/ValueSet/ISiKTerminPriority,0.1.0,active,,ISiKTerminPriority,,"Enthaelt alle SNOMED Codes, die eine valide Priorität für den ISiKTermin sind","StructureDefinition/ISiKTerminPriorityExtension","SCT"
http://gefyra.info/training/ValueSet/ISiKUnterbrechungReha,0.1.0,active,,ISiKUnterbrechungRehaVS,,"ISiK Unterbrechung Reha. Dokumentiert die relevanten Gründe einer Unterbrechung einer Rehabilitationsmaßnahme im Einzelfall. Vgl. Schlüsseltabelle 2.111 Erläuterung zur Unterbrechung.","StructureDefinition/ExtensionISiKRehaEntlassung","Internal"
http://gefyra.info/training/ValueSet/MedikationsListeListModeVS,0.1.0,active,,MedikationsListeListModeVS,Medikationslisten-Modes,"Erlaubte ListModes der ISiK MedikationsListe","StructureDefinition/ISiKMedikationsListe","hl7.fhir.r4.core"
http://gefyra.info/training/ValueSet/ObservationCodesCRP,0.1.0,active,,ObservationCodesCRP,,"Enthält LOINC-Codes für die Observation CRP","StructureDefinition/ISiKLaboruntersuchungCRP","LOINC"
http://gefyra.info/training/ValueSet/ObservationCodesGFR,0.1.0,active,,ObservationCodesGFR,,"Enthält LOINC-Codes für die Observation GFR","StructureDefinition/ISiKLaboruntersuchungGFR","LOINC"
http://gefyra.info/training/ValueSet/ObservationCodesHb,0.1.0,active,,ObservationCodesHb,,"Enthält LOINC-Codes für die Observation Hb","StructureDefinition/ISiKLaboruntersuchungHb","LOINC"
